,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
0,1263.90,1233.77,1140.72,1073.48,1041.89,1092.64,1037.56,1018.50,954.60,888.54,829.53,734.39,706.03,683.74,683.37,687.49,645.43,628.65,644.34,611.24,597.00,599.30,576.86,555.80,572.45,545.00,535.82,522.70,511.37,464.45,494.26,457.99,433.62,412.93,437.02,414.59,405.22,396.23,387.86,379.79,371.94,364.49,357.55,350.80,344.33,338.42,332.73,327.12,321.77,316.79,311.85,307.35,303.13,298.90,295.08,291.41,287.52,283.91,280.66,277.30,274.01,270.71,267.45,264.42,261.20,257.93,254.98,252.05,248.85,245.87,242.96,239.97,237.14,234.32,231.51,228.70,226.03,223.22,220.40,217.95,215.47,212.81,210.23,207.73
1,83.00,90.40,73.39,85.31,76.63,67.31,68.91,72.60,69.48,69.45,67.56,54.36,55.90,53.35,46.01,51.22,51.53,50.94,51.97,43.51,41.08,47.03,39.01,42.82,39.60,39.75,40.74,36.92,31.65,32.15,35.40,32.43,32.27,34.64,30.79,29.67,28.58,27.84,27.64,27.13,26.52,25.91,25.29,24.85,24.55,24.24,23.42,22.75,22.89,22.87,22.52,21.95,21.43,21.06,20.70,20.66,20.59,20.35,20.19,19.58,18.95,18.82,18.73,18.63,18.67,18.58,18.23,17.95,17.59,17.43,17.50,17.18,16.82,16.48,16.13,16.01,16.08,16.19,16.08,15.85,15.62,15.21,14.53,14.26
2,53.75,47.56,46.24,45.19,50.89,43.08,45.17,43.91,47.03,44.25,38.66,34.18,39.43,31.36,29.64,31.23,30.71,32.35,31.62,27.96,25.45,27.77,25.45,23.11,25.69,23.58,28.24,18.47,18.71,19.17,20.20,18.22,17.80,17.08,19.47,18.48,18.12,17.77,17.38,16.89,16.43,16.06,15.71,15.37,15.05,14.82,14.61,14.41,14.21,14.00,13.85,13.62,13.38,13.26,13.12,12.97,12.81,12.63,12.45,12.25,12.06,11.86,11.67,11.54,11.47,11.30,11.14,11.04,10.96,10.82,10.69,10.56,10.38,10.26,10.14,9.96,9.84,9.78,9.61,9.49,9.42,9.30,9.18,9.12
3,40.65,39.75,36.88,41.89,40.19,37.91,31.56,35.62,36.49,32.50,33.29,26.70,27.34,21.95,25.09,21.90,21.11,22.43,22.61,18.51,17.02,16.16,21.92,20.36,19.27,15.14,19.38,16.28,11.06,15.60,11.43,10.42,11.02,13.38,13.16,12.35,12.10,11.85,11.54,11.27,11.01,10.71,10.48,10.15,9.82,9.63,9.46,9.36,9.20,9.05,8.95,8.84,8.73,8.62,8.50,8.37,8.29,8.20,8.05,7.88,7.72,7.61,7.56,7.52,7.47,7.37,7.22,7.13,7.10,7.03,6.96,6.89,6.77,6.70,6.70,6.63,6.52,6.46,6.40,6.28,6.17,6.05,5.99,5.98
4,39.24,31.26,33.17,25.03,30.73,27.48,28.88,26.12,26.89,26.05,21.89,25.49,23.15,21.50,15.45,21.80,20.10,18.52,17.87,16.94,16.64,18.30,16.34,13.01,11.58,12.83,14.53,12.46,9.22,10.23,10.20,11.38,10.86,7.30,10.70,10.03,9.82,9.53,9.16,8.93,8.73,8.49,8.33,7.99,7.73,7.59,7.40,7.29,7.18,7.08,6.98,6.88,6.77,6.72,6.60,6.48,6.47,6.46,6.38,6.23,6.14,6.11,6.07,6.03,5.99,5.95,5.86,5.78,5.69,5.56,5.49,5.42,5.35,5.29,5.23,5.23,5.17,5.11,5.10,4.99,4.82,4.76,4.70,4.64
5,30.88,26.93,29.81,26.18,25.50,25.52,25.01,23.98,26.91,23.45,23.41,21.90,17.41,13.72,17.68,16.41,16.54,15.97,14.34,12.81,13.17,12.81,14.13,9.91,11.28,12.41,11.63,14.24,11.35,10.30,11.51,11.17,8.86,9.56,9.61,9.06,8.75,8.41,8.03,7.78,7.56,7.37,7.20,6.98,6.83,6.69,6.56,6.43,6.32,6.21,6.17,6.06,5.96,5.91,5.80,5.74,5.74,5.67,5.60,5.52,5.44,5.41,5.38,5.29,5.20,5.17,5.08,4.99,4.91,4.78,4.70,4.69,4.68,4.61,4.50,4.38,4.32,4.32,4.31,4.20,4.09,4.08,4.03,3.97
6,32.53,26.27,29.38,25.92,20.01,20.35,23.62,22.83,21.22,24.43,20.25,18.48,17.00,16.90,17.26,13.10,14.91,14.53,13.64,17.25,13.62,11.49,14.07,11.35,14.27,10.12,11.21,12.18,10.52,10.79,9.75,9.38,7.33,11.27,8.77,8.24,7.96,7.61,7.31,7.10,6.90,6.74,6.57,6.40,6.25,6.16,6.02,5.89,5.82,5.71,5.66,5.56,5.45,5.41,5.30,5.24,5.25,5.19,5.12,5.05,4.92,4.84,4.81,4.73,4.64,4.61,4.52,4.44,4.41,4.33,4.20,4.13,4.12,4.11,4.05,3.93,3.87,3.81,3.75,3.70,3.64,3.64,3.63,3.58
7,26.12,24.18,27.47,23.91,27.65,24.96,17.12,24.41,26.06,16.03,20.86,19.45,15.10,16.22,14.11,10.14,12.59,17.63,13.53,12.62,13.37,11.43,10.36,10.04,8.62,9.30,9.50,10.87,7.52,7.39,8.30,7.28,11.16,8.55,7.97,7.41,7.20,6.94,6.66,6.46,6.35,6.21,6.06,5.95,5.79,5.70,5.62,5.48,5.41,5.34,5.22,5.12,5.07,5.03,4.92,4.87,4.87,4.82,4.70,4.57,4.44,4.37,4.35,4.33,4.31,4.28,4.19,4.11,4.09,4.01,3.87,3.75,3.68,3.67,3.66,3.65,3.59,3.48,3.42,3.41,3.41,3.41,3.41,3.30
8,24.92,26.72,23.92,24.53,20.23,19.87,20.50,25.67,19.29,19.53,20.35,15.70,17.32,18.99,16.20,11.83,17.73,13.58,12.14,11.78,11.34,9.65,10.32,12.41,8.95,12.35,12.51,11.96,10.53,10.96,9.65,10.75,7.52,6.71,7.32,6.85,6.60,6.46,6.28,6.06,5.91,5.79,5.71,5.62,5.46,5.36,5.33,5.19,5.05,5.04,4.92,4.80,4.81,4.71,4.54,4.49,4.50,4.45,4.27,4.15,4.15,4.14,4.13,4.11,4.09,4.06,3.98,3.90,3.82,3.74,3.72,3.64,3.57,3.56,3.55,3.54,3.48,3.36,3.25,3.19,3.19,3.18,3.18,3.13
9,23.44,23.22,25.12,22.21,19.23,16.87,17.48,20.49,18.44,17.67,20.57,15.75,17.32,15.20,17.16,16.18,13.84,13.16,12.30,13.12,8.78,13.62,11.68,11.33,9.47,14.17,10.95,10.29,8.02,11.34,10.65,8.77,7.69,10.43,6.96,6.61,6.40,6.22,6.09,5.86,5.64,5.54,5.48,5.39,5.31,5.21,5.11,5.02,4.94,4.87,4.74,4.61,4.56,4.45,4.28,4.24,4.25,4.19,4.08,4.02,4.02,4.02,4.01,3.94,3.86,3.84,3.82,3.80,3.72,3.64,3.62,3.59,3.58,3.56,3.55,3.48,3.42,3.36,3.24,3.19,3.18,3.13,3.07,3.01
10,24.25,23.03,20.97,25.39,23.57,19.49,16.25,21.33,20.75,18.95,18.18,17.08,17.14,12.70,19.61,12.46,16.93,14.34,13.14,13.79,15.34,10.01,9.22,11.89,11.53,12.04,7.05,11.70,7.80,8.80,8.75,9.45,7.89,10.93,7.11,6.68,6.47,6.26,6.08,5.90,5.73,5.62,5.53,5.46,5.38,5.23,5.13,5.10,5.01,4.87,4.80,4.73,4.60,4.49,4.38,4.33,4.29,4.18,4.13,4.13,4.13,4.07,4.01,3.94,3.87,3.86,3.84,3.81,3.79,3.77,3.74,3.66,3.59,3.57,3.55,3.49,3.42,3.41,3.41,3.40,3.34,3.23,3.17,3.12
11,26.18,26.61,26.87,25.26,29.92,21.27,20.33,22.86,20.99,21.00,17.85,17.38,19.80,17.94,14.83,16.94,15.82,17.16,14.31,11.86,13.76,16.04,12.48,9.70,13.87,13.84,11.97,9.09,10.31,9.63,8.21,11.51,6.56,10.09,7.98,7.29,6.99,6.83,6.61,6.43,6.24,6.06,5.95,5.86,5.74,5.61,5.52,5.48,5.38,5.23,5.15,5.13,5.06,4.94,4.82,4.77,4.67,4.57,4.58,4.58,4.59,4.42,4.24,4.23,4.23,4.21,4.20,4.12,4.03,4.01,3.98,3.90,3.82,3.80,3.78,3.77,3.75,3.74,3.68,3.62,3.56,3.50,3.50,3.49
12,26.86,25.15,27.61,27.13,24.48,20.18,22.93,22.06,22.54,18.61,18.21,22.39,20.59,24.14,19.84,19.37,19.52,16.07,17.90,16.05,19.16,11.76,15.51,15.22,16.80,11.78,13.52,9.85,10.07,11.04,10.64,11.18,10.91,10.50,9.56,8.84,8.46,8.25,8.05,7.80,7.55,7.29,7.10,6.86,6.66,6.50,6.31,6.22,6.12,5.96,5.86,5.78,5.70,5.63,5.51,5.45,5.40,5.36,5.31,5.27,5.28,5.11,4.93,4.93,4.93,4.92,4.84,4.71,4.63,4.60,4.57,4.54,4.51,4.49,4.41,4.33,4.25,4.18,4.12,4.05,4.05,4.04,3.98,3.92
13,32.08,29.36,28.84,25.42,30.44,24.69,33.88,33.27,22.05,27.00,27.71,21.80,24.00,21.12,21.97,22.00,19.87,20.77,16.82,16.09,20.29,20.97,18.75,14.04,17.70,19.33,16.32,11.65,13.64,9.76,8.63,10.07,13.57,10.85,11.74,10.98,10.50,10.14,9.88,9.63,9.35,9.02,8.75,8.47,8.22,8.04,7.85,7.73,7.58,7.40,7.24,7.08,6.87,6.73,6.66,6.53,6.48,6.43,6.33,6.23,6.13,6.02,5.97,5.92,5.86,5.85,5.78,5.70,5.62,5.54,5.51,5.47,5.44,5.40,5.31,5.23,5.09,4.96,4.94,4.93,4.92,4.91,4.79,4.68
14,35.40,36.93,35.81,36.13,37.03,30.41,34.76,31.45,28.22,30.68,32.63,25.37,27.61,29.85,25.65,27.91,24.44,25.47,23.05,19.65,24.21,23.16,21.24,20.02,18.95,19.45,20.54,14.22,14.42,12.79,12.76,13.02,12.93,13.22,14.91,13.86,13.23,12.76,12.34,12.01,11.70,11.31,10.90,10.61,10.41,10.21,10.00,9.79,9.56,9.29,9.04,8.92,8.69,8.48,8.39,8.25,8.19,8.07,7.97,7.88,7.72,7.62,7.58,7.53,7.42,7.36,7.35,7.28,7.08,6.94,6.84,6.75,6.71,6.61,6.51,6.47,6.38,6.29,6.27,6.19,6.12,6.10,6.04,5.92
15,42.40,43.65,45.18,43.30,39.07,43.42,39.90,37.49,41.86,42.61,46.44,34.45,36.59,33.41,31.98,34.98,30.31,29.29,26.49,25.40,25.98,28.92,24.95,29.08,23.47,25.20,28.03,21.17,25.66,17.35,17.23,13.22,16.33,14.68,19.14,17.92,17.13,16.47,15.86,15.35,14.94,14.47,13.96,13.53,13.28,13.03,12.74,12.33,11.94,11.67,11.39,11.18,11.04,10.87,10.70,10.55,10.47,10.34,10.22,10.13,10.04,9.95,9.74,9.64,9.48,9.31,9.31,9.18,8.99,8.90,8.75,8.60,8.55,8.44,8.33,8.22,8.12,8.07,8.03,7.89,7.75,7.73,7.71,7.59
16,53.15,55.30,59.46,53.58,52.68,53.02,51.82,52.40,54.43,60.02,56.99,43.38,41.71,44.32,37.32,41.32,49.64,48.70,43.33,42.81,34.69,39.87,38.71,33.03,35.08,35.47,34.49,36.51,28.72,22.90,23.73,20.43,22.28,21.89,24.63,23.02,22.12,21.18,20.28,19.65,19.05,18.46,17.89,17.36,16.95,16.55,16.18,15.75,15.27,14.94,14.58,14.23,14.06,13.85,13.65,13.48,13.32,13.17,13.04,12.92,12.72,12.52,12.32,12.18,11.97,11.75,11.64,11.52,11.40,11.32,11.11,10.89,10.84,10.78,10.66,10.48,10.36,10.30,10.18,10.02,9.93,9.84,9.75,9.68
17,104.62,97.69,82.77,79.40,80.07,81.46,79.81,85.07,84.72,87.60,74.57,67.98,67.04,68.63,70.87,68.43,63.58,57.26,62.29,58.20,59.97,58.23,52.86,52.90,60.48,58.10,49.40,52.62,49.78,38.79,35.14,33.90,29.11,29.37,31.20,29.06,27.96,26.85,25.72,24.78,23.97,23.26,22.54,21.91,21.30,20.68,20.18,19.75,19.24,18.70,18.26,17.92,17.67,17.42,17.19,16.97,16.79,16.56,16.35,16.15,15.82,15.50,15.43,15.30,15.04,14.84,14.63,14.52,14.40,14.21,14.01,13.80,13.63,13.51,13.32,13.13,13.04,12.91,12.67,12.49,12.42,12.26,12.11,12.02
18,106.89,105.67,94.25,87.06,87.89,97.77,91.19,88.53,92.09,91.81,95.63,81.43,82.35,73.95,90.55,84.02,85.68,87.36,72.12,80.49,85.40,80.37,74.37,68.41,68.15,61.78,63.37,59.18,56.60,53.87,40.59,50.98,39.67,42.17,38.32,35.63,34.24,32.95,31.65,30.39,29.28,28.37,27.49,26.70,26.01,25.25,24.60,24.07,23.51,22.86,22.32,22.01,21.65,21.32,21.04,20.79,20.50,20.13,19.89,19.67,19.36,18.97,18.73,18.55,18.31,18.12,17.92,17.77,17.56,17.32,17.13,16.87,16.65,16.47,16.28,16.13,15.98,15.77,15.51,15.31,15.17,14.93,14.71,14.50
19,108.26,99.88,95.20,95.23,86.19,91.03,97.84,86.69,92.18,85.13,91.87,83.81,82.38,79.85,90.05,84.97,89.77,92.18,92.23,84.13,91.70,72.91,68.99,64.25,71.45,71.04,65.49,64.07,63.88,46.58,49.22,45.91,50.95,45.90,44.91,41.79,40.16,38.51,37.03,35.73,34.41,33.26,32.21,31.29,30.40,29.49,28.73,28.11,27.55,26.88,26.27,25.79,25.32,24.92,24.58,24.28,23.95,23.59,23.33,23.08,22.80,22.38,21.99,21.70,21.42,21.25,21.07,20.88,20.56,20.29,20.06,19.76,19.60,19.38,19.08,18.93,18.72,18.39,18.11,17.89,17.68,17.42,17.18,16.94
20,99.11,100.15,99.75,94.38,95.78,89.28,92.36,100.62,92.98,99.04,88.61,80.29,91.11,90.47,92.03,83.03,96.85,86.40,85.24,84.37,80.62,87.85,84.24,77.48,70.20,74.68,68.66,75.50,64.35,55.23,53.03,47.78,44.00,48.17,49.70,46.33,44.50,42.72,41.10,39.66,38.28,36.94,35.77,34.81,33.77,32.82,32.02,31.28,30.60,29.96,29.31,28.70,28.15,27.67,27.29,26.94,26.63,26.35,26.04,25.71,25.35,24.96,24.60,24.16,23.82,23.66,23.44,23.21,22.97,22.72,22.45,22.17,21.92,21.60,21.26,21.01,20.75,20.36,20.08,19.85,19.63,19.41,19.20,19.00
21,82.99,85.33,85.99,86.30,89.72,88.01,97.68,89.93,90.10,94.35,89.95,90.16,89.14,84.19,103.69,95.40,106.31,90.96,83.83,86.74,80.33,82.76,83.72,63.53,73.60,69.25,73.80,63.79,66.87,67.52,54.68,45.29,47.75,48.93,52.44,48.95,47.00,45.25,43.61,41.94,40.51,39.17,37.99,37.01,35.97,35.04,34.13,33.25,32.50,31.82,31.22,30.67,30.07,29.55,29.10,28.68,28.27,27.96,27.67,27.36,27.03,26.61,26.17,25.76,25.49,25.27,24.95,24.68,24.46,24.17,23.87,23.60,23.27,22.92,22.65,22.31,22.01,21.75,21.47,21.18,20.95,20.72,20.50,20.29
22,87.11,85.99,86.84,84.51,87.38,89.42,88.39,91.69,92.83,99.50,88.92,90.88,92.39,89.62,88.69,94.00,91.44,96.21,87.48,89.39,84.98,92.80,85.52,81.02,71.47,75.11,70.80,72.87,60.36,59.91,58.19,49.76,43.08,47.76,53.59,50.06,48.16,46.28,44.66,43.08,41.63,40.35,39.16,38.12,37.03,36.00,35.03,34.13,33.49,32.81,32.19,31.60,30.99,30.51,30.01,29.52,29.10,28.81,28.44,28.10,27.85,27.41,26.95,26.62,26.37,26.11,25.84,25.52,25.16,24.83,24.54,24.30,23.94,23.55,23.31,23.00,22.77,22.58,22.26,21.93,21.60,21.31,21.08,20.86
23,85.56,89.34,70.17,82.68,78.31,84.90,82.61,93.16,85.51,99.53,98.80,85.25,85.46,87.69,89.18,87.01,92.45,99.52,94.41,97.15,79.16,82.31,84.80,87.03,79.68,76.94,71.90,75.24,65.18,68.42,50.92,57.87,51.82,57.11,53.94,50.40,48.56,46.66,45.09,43.64,42.21,40.96,39.74,38.55,37.46,36.40,35.41,34.58,33.94,33.32,32.70,32.05,31.36,30.87,30.39,29.95,29.58,29.22,28.88,28.52,28.23,27.82,27.34,27.00,26.72,26.48,26.28,25.95,25.59,25.39,25.01,24.63,24.34,23.97,23.70,23.41,23.16,22.94,22.64,22.38,22.05,21.77,21.49,21.17
24,86.16,84.74,74.77,79.73,74.67,80.36,83.59,81.94,94.32,89.11,90.71,93.67,89.45,88.86,90.79,87.86,95.70,98.73,93.55,96.69,98.91,83.81,84.89,75.34,71.61,73.21,78.40,71.60,67.31,64.10,51.39,49.24,53.71,53.36,54.27,50.75,48.89,47.06,45.56,44.15,42.74,41.50,40.31,39.10,38.04,37.08,36.10,35.25,34.56,33.87,33.26,32.71,32.06,31.49,30.96,30.54,30.10,29.74,29.54,29.15,28.79,28.41,27.90,27.58,27.29,26.91,26.62,26.32,26.05,25.85,25.50,25.13,24.90,24.62,24.26,23.89,23.55,23.30,22.97,22.68,22.48,22.26,21.98,21.65
25,81.69,82.60,83.84,80.19,76.68,76.23,79.18,83.53,88.58,92.61,92.22,84.06,88.01,89.75,90.13,94.38,103.91,96.89,93.85,93.32,90.86,95.84,85.64,83.45,81.74,79.57,73.37,71.78,72.75,60.91,64.72,57.87,61.75,47.84,55.29,51.66,49.90,48.21,46.65,45.31,43.94,42.61,41.37,40.31,39.29,38.36,37.48,36.51,35.78,35.03,34.28,33.72,33.22,32.63,32.11,31.67,31.19,30.82,30.53,30.13,29.69,29.33,28.95,28.65,28.33,27.94,27.56,27.17,26.82,26.50,26.26,26.01,25.75,25.47,25.09,24.74,24.47,24.24,23.78,23.30,23.12,22.91,22.64,22.42
26,83.61,94.23,84.17,82.37,77.72,84.25,85.47,80.31,83.10,100.23,93.44,90.98,87.10,97.28,92.89,85.40,91.43,103.88,97.91,91.31,87.84,91.80,82.96,83.65,74.02,72.69,79.24,81.06,79.77,63.57,58.49,61.03,60.58,70.54,57.49,53.84,52.04,50.32,48.74,47.34,45.98,44.64,43.37,42.27,41.29,40.24,39.28,38.36,37.57,36.89,36.11,35.45,34.92,34.34,33.85,33.42,32.97,32.54,32.08,31.65,31.22,30.88,30.57,30.13,29.77,29.50,29.11,28.68,28.34,28.00,27.68,27.34,26.99,26.68,26.36,26.13,25.89,25.57,25.14,24.73,24.46,24.22,23.91,23.54
27,89.64,78.80,88.63,88.91,78.26,81.25,81.72,84.52,83.63,93.75,86.22,92.60,97.03,92.41,104.09,89.88,87.28,102.48,101.28,103.70,99.86,97.68,79.75,87.44,79.38,84.54,77.74,78.94,73.28,68.50,62.30,57.41,63.73,64.80,60.78,57.10,55.16,53.32,51.76,50.30,48.88,47.56,46.28,45.09,44.02,42.91,41.95,41.10,40.28,39.48,38.70,38.06,37.46,36.88,36.26,35.81,35.37,34.94,34.44,33.91,33.57,33.15,32.65,32.17,31.82,31.57,31.19,30.79,30.42,30.08,29.73,29.37,28.98,28.54,28.24,27.97,27.65,27.30,26.94,26.66,26.35,26.03,25.68,25.32
28,86.63,85.60,87.94,93.54,87.46,90.87,84.81,89.96,85.88,95.79,87.06,94.59,91.52,93.72,101.46,101.02,92.19,103.87,102.14,101.46,92.01,100.57,93.35,87.19,67.18,75.56,84.11,83.48,84.60,70.39,72.65,65.49,58.80,64.07,64.90,61.03,59.07,57.23,55.66,54.16,52.64,51.25,49.96,48.76,47.65,46.62,45.62,44.66,43.82,42.92,42.10,41.39,40.69,40.08,39.43,38.92,38.50,37.99,37.47,36.95,36.55,36.05,35.55,35.10,34.71,34.40,33.98,33.55,33.09,32.66,32.27,31.93,31.57,31.14,30.81,30.41,30.00,29.67,29.28,28.92,28.58,28.23,27.90,27.65
29,95.75,86.99,87.17,85.39,80.04,84.15,78.92,90.49,89.91,103.55,93.16,95.26,100.34,90.63,102.78,100.25,104.11,102.74,106.55,104.65,105.23,100.28,98.54,90.18,83.30,92.27,78.81,86.89,81.51,78.76,74.94,72.33,69.45,71.03,69.65,65.68,63.75,61.89,60.30,58.72,57.15,55.68,54.37,53.16,52.05,51.01,49.88,48.82,47.94,47.06,46.20,45.36,44.52,43.81,43.18,42.65,42.19,41.69,41.21,40.74,40.15,39.54,39.10,38.66,38.15,37.69,37.22,36.73,36.29,35.83,35.35,34.96,34.57,34.17,33.84,33.47,32.97,32.52,32.15,31.70,31.29,30.96,30.60,30.27
30,93.97,98.54,89.93,82.34,87.76,89.67,96.64,92.67,91.29,93.83,94.42,98.25,98.06,100.02,103.56,109.50,95.49,106.16,106.15,105.51,95.31,111.28,101.65,88.86,98.59,94.70,91.77,90.23,91.38,86.56,79.69,77.53,71.43,77.07,74.80,70.73,68.80,67.03,65.42,63.73,62.22,60.78,59.40,58.11,56.95,55.81,54.64,53.51,52.57,51.71,50.81,49.87,49.00,48.32,47.63,47.06,46.49,45.90,45.42,44.86,44.23,43.62,43.05,42.51,41.90,41.33,40.84,40.35,39.90,39.45,38.93,38.55,38.10,37.56,37.17,36.80,36.28,35.79,35.44,34.98,34.54,34.18,33.64,33.18
31,95.42,93.19,91.96,91.76,89.68,88.46,99.61,94.70,96.95,103.37,101.70,105.04,108.62,107.88,112.45,112.48,103.95,105.87,102.47,101.44,111.54,103.81,104.33,100.41,93.95,99.12,101.22,97.67,83.16,85.40,81.51,80.44,81.53,76.00,80.28,75.98,74.07,72.39,70.81,69.16,67.62,66.20,64.83,63.44,62.18,61.05,59.88,58.80,57.74,56.76,55.87,54.94,54.12,53.38,52.61,51.93,51.24,50.51,50.00,49.39,48.68,48.09,47.41,46.78,46.21,45.62,45.08,44.52,44.01,43.49,42.93,42.45,41.95,41.46,41.02,40.48,39.92,39.46,39.08,38.63,38.17,37.68,37.07,36.58
32,97.04,102.95,103.97,99.73,97.04,105.54,97.57,105.86,96.03,109.20,103.79,99.56,94.52,108.71,113.60,114.82,104.29,118.17,116.16,117.30,109.35,116.16,111.71,112.82,100.68,110.18,110.91,92.67,93.59,96.49,80.87,75.91,85.65,77.60,86.09,81.63,79.77,78.04,76.42,74.97,73.47,71.95,70.56,69.22,67.92,66.73,65.66,64.62,63.51,62.47,61.46,60.49,59.61,58.67,57.83,57.13,56.41,55.60,55.01,54.42,53.67,52.98,52.27,51.60,50.98,50.33,49.71,49.05,48.47,47.93,47.30,46.72,46.18,45.72,45.22,44.58,43.95,43.45,43.04,42.52,41.98,41.42,40.83,40.37
33,101.36,98.42,100.88,106.36,99.99,102.19,108.56,118.18,111.53,103.03,104.15,105.82,112.73,120.59,114.07,112.50,112.85,120.59,116.68,108.75,121.77,112.45,113.36,109.00,117.68,107.88,113.46,112.63,96.97,91.14,88.74,92.10,86.76,84.56,92.17,87.75,85.93,84.15,82.53,81.15,79.80,78.27,76.75,75.48,74.37,73.12,71.96,70.88,69.77,68.70,67.63,66.64,65.66,64.61,63.67,62.84,62.04,61.31,60.65,59.87,59.08,58.40,57.71,56.97,56.22,55.40,54.67,54.03,53.36,52.75,52.08,51.48,50.93,50.33,49.67,49.06,48.47,47.89,47.40,46.80,46.24,45.65,44.94,44.41
34,105.68,107.32,105.62,108.89,100.32,114.08,113.97,121.24,108.23,104.79,111.71,113.51,113.97,120.76,121.29,114.84,114.49,112.93,116.32,113.47,134.23,117.49,117.65,109.21,111.26,110.35,114.98,122.87,110.10,108.33,99.74,89.46,94.75,93.05,98.68,94.26,92.62,90.92,89.38,87.92,86.53,85.20,83.79,82.51,81.35,80.11,78.86,77.73,76.61,75.42,74.39,73.46,72.46,71.37,70.39,69.45,68.45,67.76,67.07,66.03,65.06,64.38,63.59,62.76,61.99,61.10,60.35,59.65,58.88,58.09,57.29,56.65,56.07,55.41,54.69,54.02,53.45,52.82,52.20,51.56,50.98,50.41,49.73,49.03
35,107.97,120.40,120.97,115.67,120.42,103.90,118.06,118.84,121.13,119.89,122.09,123.69,122.94,117.72,117.47,128.44,108.03,122.85,127.58,125.59,122.25,117.51,127.99,126.37,117.55,123.01,124.72,134.59,131.79,103.92,108.02,98.19,101.18,104.49,106.26,101.66,100.12,98.53,97.00,95.45,94.07,92.93,91.61,90.29,89.02,87.75,86.59,85.41,84.21,83.09,82.00,80.96,79.85,78.73,77.83,76.81,75.71,74.83,73.95,72.89,71.86,71.05,70.15,69.27,68.38,67.47,66.69,65.80,64.99,64.20,63.34,62.61,61.83,61.03,60.35,59.66,59.03,58.31,57.62,56.91,56.23,55.61,54.90,54.18
36,130.32,110.36,121.56,114.72,131.97,122.70,124.08,128.37,134.16,133.28,129.12,131.11,130.87,126.91,134.89,127.32,109.00,126.84,127.24,137.28,127.25,131.96,126.33,132.13,131.89,130.12,126.35,125.93,127.18,114.12,118.40,102.39,110.86,99.89,114.71,109.96,108.40,106.92,105.43,103.94,102.58,101.31,99.98,98.75,97.57,96.25,95.06,93.88,92.61,91.46,90.35,89.31,88.09,86.88,85.82,84.71,83.56,82.48,81.47,80.46,79.41,78.36,77.33,76.46,75.58,74.58,73.67,72.65,71.73,70.97,70.06,69.17,68.25,67.34,66.61,65.90,65.15,64.35,63.58,62.79,62.13,61.37,60.50,59.86
37,136.44,142.76,124.62,135.63,133.47,142.31,130.57,129.15,139.75,147.04,145.61,134.65,130.58,134.97,133.28,133.27,135.85,138.31,129.97,149.50,132.96,142.71,136.52,136.40,142.46,136.21,130.52,131.27,132.18,124.37,128.77,115.12,124.87,112.40,123.83,118.87,117.46,116.05,114.63,113.29,111.94,110.53,109.20,108.00,106.74,105.41,104.12,102.90,101.71,100.41,99.25,98.22,96.95,95.68,94.41,93.19,92.06,90.90,89.78,88.53,87.42,86.38,85.21,84.10,83.20,82.21,81.10,80.08,79.07,78.17,77.21,76.19,75.22,74.25,73.41,72.60,71.72,70.85,69.99,69.15,68.42,67.62,66.82,66.06
38,160.86,143.52,146.03,138.72,132.65,147.07,139.27,140.57,146.29,152.15,150.25,166.55,151.37,138.80,151.61,143.80,144.52,137.98,145.22,141.84,149.47,138.44,138.73,137.23,136.07,142.54,136.94,153.98,144.19,140.09,131.11,126.57,134.10,145.69,134.10,128.77,127.38,125.93,124.60,123.30,121.88,120.42,119.04,117.82,116.58,115.29,113.91,112.48,111.27,110.07,108.69,107.36,106.15,104.92,103.60,102.23,100.97,99.82,98.60,97.27,96.01,94.86,93.70,92.43,91.23,90.15,89.00,87.88,86.80,85.79,84.82,83.72,82.62,81.58,80.62,79.69,78.74,77.79,76.85,75.97,75.08,74.20,73.36,72.46
